|En|Es|Pt|Fr
Lesson Goals|Objetivos de la lección|Objetivos da Lição|Objectifs de la leçon
This first lesson in our section on dealing with Online Sources is designed to get you and your computer set up to start programming .|Esta primera lección de nuestra sección sobre recursos en línea está diseñada para introducirte en el tema y preparar tu computadora para comenzar a programar .|Essa primeira lição na nossa seção sobre Fontes Online é preparada para que você e o seu computador estejam preparados para se iniciarem na programação .|Cette première leçon de notre section traitant des sources en ligne a pour but de vous préparer , vous et votre ordinateur , à commencer à programmer . Nous allons nous concentrer sur l'installation de l'environnement de développement requis .
We will focus on installing the relevant software – all free and reputable – and finally we will help you to get your toes wet with some simple programming that provides immediate results .|Nos enfocaremos en la instalación del software necesario para hacerlo –que es software libre y de buena reputación- , y finalmente te ayudaremos a dar una probadita en programación ( como dicen en inglés : “ get your toes wet ” ) , con unos programas sencillos que producen resultados inmediatos .|Iremos focar na instalação do software necessário , livre e de boa reputação . Posteriormente , iremos auxiliar na experimentação com os primeiros passos na programação , para que você tenha resultados rápidos .|( Tout ce dont vous aurez besoin est gratuit et fiable . ) Puis , à la fin de cette leçon , nous vous aiderons à compléter un premier essai avec un programme simple qui donnera des résultats immédiats .
In this opening module you will install the Python programming language , the Beautiful Soup HTML/XML parser , and a text editor .|En este módulo inicial instalarás el Lenguaje de programación Python , el Analizador sintáctico ( parser ) Beautiful Soup HTML/XML , y un editor de texto .|Neste módulo de abertura , você irá instalar a Linguagem de Programação Python , o analisador de HTML/XML Beautiful Soup , e um editor de texto .|Dans cette leçon d'introduction , vous allez installer le langage de programmation Python , l'analyseur HTML / XML Beautiful Soup et un éditeur de texte .
Screencaps provided here come from Komodo Edit , but you can use any text editor capable of working with Python .|Las capturas de pantalla que se ofrecen como ejemplo provienen del editor de texto Komodo Edit , pero puedes utilizar cualquier otro editor de texto capaz de trabajar con Python .|Os ecrãns de exemplo mostrados aqui correspondem ao Komodo Edit , mas você pode utilizar qualquer editor de texto apto a trabalhar com o Python .|Les captures d'écran fournies ici proviennent de Komodo Edit , mais vous pouvez utiliser n'importe quel éditeur de texte capable de travailler avec Python .
Here 's a list of other options : Python Editors .|Aquí hay una lista de opciones al respecto : Editores de Texto para Python .|Aqui está uma lista de outras opções : Editores Python .|Voici une liste d'autres éditeurs compatibles avec Python .
Once everything is installed , you will write your first programs , `` Hello World '' in Python and HTML .|Una vez que todo esté instalado , escribirás tu primer programa ( el clásico “ Hola Mundo ” ) en Python y HTML .|Uma vez que tudo esteja instalado , você irá escrever os seus primeiros programas , `` Olá Mundo '' em Python e HTML .|Une fois que tout sera installé , vous écrirez votre premier programme : le classique « Hello World » , en Python et HTML .
the Python Programming Language|El lenguaje de programación Python|A linguagem de programação Python|Le langage de programmation Python
The programming language we will use in this series of lessons is Python , a free , open source language .|Python fue el primer lenguaje de programación que se introdujo en Programming Historian . Es un lenguaje de programación libre y de código abierto .|A linguagem de programação que usaremos nesta série de lições é Python , uma linguagem livre e de código aberto .|Dans le cadre de cette série de leçons , nous utiliserons Python , un langage de programmation gratuit et à code ouvert .
Unless otherwise noted , we will be using throughout .|Antes de que descargues el software es necesario tomar nota de que en todas las lecciones se utilizará porque la versión anterior , , dejará de recibir actualizaciones .|A menos que seja observado o contrário , usaremos a versão daqui em diante .|À moins d'indications contraires , nous utiliserons la de Python , la version 2 n'étant plus soutenue .
Python 3|Python v.3.x|Python 3|version 3
Version 2 is no longer officially supported , but you might still find it used in older projects or lessons .|Python v.2 .|A versão 2 não é mais suportada , mas ainda pode estar sendo usada em projetos ou lições mais antigas .|Il se pourrait cependant que vous rencontriez du code Python 2 dans des projets ou des tutoriels plus anciens .
Python 3 has a few differences in formatting ( think grammar rules ) , so beware if you find examples online that still use Python 2 . They might not run under current versions of Python .|Si ya utilizabas la versión 2 reconocerás la mayor parte de la sintaxis pero deberás seguir los ejemplos con más detenimiento para estar pendiente a los cambios .|Python 3 tem algumas poucas diferenças na formatação ( pense em regras gramaticais ) . Assim , fique atento se você encontrar exemplos online que ainda utilizam o Python 2 . Esses exemplos podem não funcionar nas versões atuais do Python .|Python 3 présente des différences avec ses prédécesseurs - à titre de comparaison , imaginez une langue dont les règles de grammaire évoluent avec le temps . Méfiez-vous donc d'exemples que vous pourriez trouver en ligne utilisant Python 2 , car il est possible qu'ils ne fonctionnent pas en Python 3 .
Backup Your Work !|¡Respalda los datos de tu computadora !|Faça backups do seu trabalho !|Sauvegardez votre travail !
Before you download or install any new software , it is crucial that you make backups of your work .|Antes de descargar o instalar cualquier nuevo software en tu computadora , es muy importante hacer el respaldo de los datos en tu computadora .|Antes de fazer o download ou instalar qualquer novo software , é crucial que você faça backups do seu trabalho .|Avant de télécharger ou d'installer un nouveau logiciel , il est primordial de faire une copie de sauvegarde de votre travail passé .
|Todos los días y antes de programar cualquier cosa , asegúrate de hacer una copia de seguridad de la base de datos de Zotero .||
You should back up your whole computer at least weekly , and preferably more frequently .|Al final de un día de trabajo , respalda nuevamente la base de datos de Zotero y de cualquier programa que hayas escrito ese día . Por lo menos una vez a la semana se debe hacer un respaldo de toda la computadora , aunque es recomendable hacerlo con más frecuencia ( en el caso de computadoras Mac , el uso del Time Machine es imprescindible ) .|Você deve fazer backup de todo o seu computador pelo menos uma vez por semana , e de preferência com uma frequência ainda menor .|D'ailleurs , vous devriez sauvegarder votre ordinateur au moins une fois par semaine , et de préférence plus fréquemment .
It is also a good idea to make off-site backups of your work , so that you do n't lose everything if something happens to your computer or to your home or office .|También es muy buena idea hacer copias de seguridad de tu trabajo en línea ; para que en el caso de que algo le pase a tu equipo , casa u oficina no pierdas todo lo hecho .|É também uma boa ideia fazer backups fora do seu ambiente local pois , dessa forma , fica salvaguardado caso algo aconteça com o seu computador , com a sua casa ou o seu escritório .|C'est aussi une bonne idée de conserver des sauvegardes hors site de votre travail ; de cette façon , vous ne perdrez pas tout si quelque chose arrive à votre ordinateur , à votre domicile ou à votre bureau .
Sites like Jungle Disk and Dropbox provide easy-to-use and relatively inexpensive online backup options .|Hay sitios que proveen formas fáciles y relativamente económicas de hacer copias de seguridad , como Jungle Disk y Dropbox .|Sites como o Jungle Disk ou o Dropbox fornecem opções de backup fáceis de usar e relativamente baratas .|Des sites comme Jungle Disk et Dropbox offrent des options de sauvegarde en ligne faciles à utiliser et relativement bon marché .
Choose Your Operating System|Selecciona tu sistema operativo|Escolha o seu Sistema Operativo|Choisissez votre système d'exploitation
Step 1 – Install and Set Up Software|Paso 1.- Instalar el software|Passo 1 – Instale e configure o Software|Étape 1 - Installation et configuration du logiciel
In order to work through the techniques in this website , you will need to download and install some freely available software .|Con el fin de trabajar con las diversas técnicas que se ofrecen en Programming Historian , debes descargar e instalar algunos programas de software libre disponibles .|Para que você consiga trabalhar nas técnicas aqui apresentadas , você precisará descarregar e instalar software disponível gratuitamente .|Pour utiliser les techniques présentées ici , vous devrez d'abord télécharger et installer des logiciels disponibles gratuitement .
We have provided instructions for Mac , Windows and Linux .|Se ofrecen las instrucciones para hacerlo en Mac , Windows y Linux .|Nós fornecemos instruções para o Mac , Windows e Linux .|Vous trouverez ci-dessous des instructions pour Mac , Windows et Linux .
Once you have installed the software for your operating system , move on to ' Viewing HTML Files ' .|Una vez que los hayas instalado de acuerdo al sistema operativo de tu equipo , sigue a la siguiente lección : Para entender páginas Web y HTML .|Uma vez que você tenha instalado o software no seu Sistema Operativo , siga para a lição ' Noções básicas de páginas web e HTML ' .|Une fois que vous aurez installé les logiciels requis pour votre système d'exploitation , vous pourrez passer à la leçon « Comprendre les pages web et le HTML » .
If you run into trouble with our instructions or find something that does n't work on your platform , please let us know .|Si tienes algún problema con las instrucciones o encuentras algo que no funciona en tu plataforma , ponte en contacto con nosotros .|Se você encontrar dificuldades com as nossas instruções ou achar que algo não funciona na sua plataforma , por favor nos informe .|Si vous rencontrez des problèmes avec nos instructions , ou si vous trouvez quelque chose qui ne fonctionne pas sur votre plate-forme , nous vous demandons de bien vouloir nous le faire savoir .
